document,case
"<p>The Barack Obama family tree includes an African-American father from Kenya and a Caucasian mother from Kansas. His parents separated when Obama was just two years old, and Obama only recalls seeing his father only once in Hawaii in 1971.</p>",0
"<p>This book takes a look at the fascinating and diverse family history of Barack Obama. Readers will learn about his Kansas-born mother and his father who was from Kenya.</p>",1
"<p>It opens with a discussion of family trees in general and provides a full-spread chart illustrating Obama's nuclear and extended family, with a thumbnail black-and-white or color photo for many of its members.</p>",2
"<p>Adjacent to the French Lick Resort Hotel, this 51,000-square-foot Vegas-style gaming facility features over 1,100 slot machines, a high-limit gaming area with VIP lounge, 40 table games and more.</p>",3
"<p>French Lick Resort is a Casino in French Lick, Indiana and is open daily 24 hours. The casino's 51,000 square foot gaming space features 1,005 gaming machines and forty-two table and poker games.</p>",4
"<p>French Lick Resorts & Casino, LLC owns and operates a resort. The company’s amenities include hotels, golf courses, a casino, spas, restaurants, beverage venues, and retail shops.</p>",5
"<p>Want a clean home? An efficient office? Get organized with adult ADHD thanks to organizing guru Judith Kolberg and her 33 top strategies for work and home.</p>",6
"<p>Keeping items out of sight when they’re out of rotation is no one-size-fits-all proposition. Here, 10 self-contained solutions to meet the needs of all sorts of homes, whether you have a spacious attic or just a spare corner.</p>",7
"<p>Organizing your home can be tricky, especially since it's an ongoing endeavor. If you're at the point where you need to call a timeout and reset, these nine secrets will help you refocus, declutter, organize, and make an organized home a reality.</p>",8
"<p>This is the layout of the small town where Anna Beck found the toilet. The great hall is in black; it was rebuilt five times during the town's lifetime.</p>",9
"<p>In 2011, the Water, Sanitation & Hygiene program initiated the Reinvent the Toilet Challenge to bring sustainable sanitation solutions to the 2.5 billion people worldwide who don’t have access to safe, affordable sanitation.</p>",10
"<p>'Many parents are unsure about when to start toilet teaching or ''potty training.'' Not all kids are ready at the same age, so it's important to watch your child for signs of readiness, such as stopping an activity for a few seconds or clutching his or her diaper.'</p>",11
"<p>Founded in 1938, Mitchell College is a non-profit private higher education institution located in the the urban setting of the medium-sized town of New London (population range of 10,000-49,999 inhabitants), Connecticut.</p>",12
"<p>What are Mitchell College's admission requirements? While there are a lot of pieces that go into a college application, you should focus on only a few critical things:</p>",13
"<p>Mitchell College is a great place if your looking to have a decent time, but is definitively no big party school. Get to know the right people and move off campus so you can learn to have your own fun or you might have thoughts of wanting to leave and never come back or offing yourself.</p>",14
"<p>In order to get dramatically different results, we have to do something dramatically different. For most organizations, KCS® represents a new way to think about knowledge, and the benefits are profound.</p>",15
"<p>Simply put, Knowledge Centered Support (KCS) is about treating the collective knowledge of your organization as a valuable part of how you solve problems (and prevent future ones).</p>",16
"<p>KCS has a long history of providing reliable searches and abstracts of title for all of New York State, with additional staff in Schenectady, Saratoga, Albany, Rensselaer, Fulton, Montgomery, Hamilton and now Warren and Washington counties.</p>",17
"<p>International travel. JetBlue and our airline partners can take you to hundreds of destinations around the world. Make sure you have all the information you need.</p>",18
"<p>Need to make a change to your reservation? Does Total Rewards Air sound like too much fun and excitement. Here you will find detailed information regarding our change and cancellation policy.</p>",19
"<p>This is an old subject in the forum and one that I have researched in old threads. In spite of my research, I still feel uncertain. I took a Travolin on my last European trip which proved to be ideally suited for extensive travel by plane, boat, bus and train.</p>",20
"<p>Andrew Wieland has conducted numerous real estate appraisals for my clients over the years . Without exception , all of my clients have been very satisfied with the friendly , prompt and very professional services rendered by Andrew on their behalf.</p>",21
"<p>Leila Dunbar LLC prepares written appraisals for sports, entertainment, wine, and pop culture (toys, advertising, automotive, movie posters, comics, etc.)</p>",22
"<p>Biegel & Perra Appraisals are Appraisal Institute of Canada (AIC) certified residential appraisers serving the Peace Country of Alberta, Fort McMurray, and Dawson Creek and surrounding area in British Columbia from our office in Grande Prairie, Alberta.</p>",23
"<p>In a perfect world, your car would never break, and if it did, magic fairies would fly into your car with a stack of fresh parts and fix it for you.</p>",24
"<p>Fast, efficient, and professional, Orthodox Auto Company has one of the largest assortments of used auto parts in Pennsylvania and the South Jersey area.</p>",25
"<p>Welcome to Elite Used Auto Parts, Tampa, Florida. We carry used auto parts for cars and trucks, recycled auto parts as well as new aftermarket auto parts online.</p>",26
"<p>High-speed cable is widely available through Time Warner Cable. Starting in the northern neighborhoods of Dretzka Park and Pheasant Run, the network runs through the central communities of Hillside and Concordia before reaching Maitland Park and Copernicus Park in the south.</p>",27
