AssignmentStatus,WorkTimeInSeconds,Input.case,Input.query,Input.title,Input.link,Input.imglink,Input.snippet_A,Input.snippet_B,Answer.better,Answer.case,Answer.query,Answer.quest
Approved,24,0,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,<p>The Arcadia video game system displays the visuals on a monitor suitable for the late 90's. A copy of the game Duck Shoot' is included. in box is a single gun for the game but more can be purchased for multiplayer support.</p>,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",1,0|0,Electronic Skeet Shoot,s
Approved,121,0,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,<p>The Arcadia video game system displays the visuals on a monitor suitable for the late 90's. A copy of the game Duck Shoot' is included. in box is a single gun for the game but more can be purchased for multiplayer support.</p>,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",2,0|0,Electronic Skeet Shoot,o
Approved,72,0,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,<p>The Arcadia video game system displays the visuals on a monitor suitable for the late 90's. A copy of the game Duck Shoot' is included. in box is a single gun for the game but more can be purchased for multiplayer support.</p>,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",g,0|0,Electronic Skeet Shoot,o
Approved,44,0,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,<p>The Arcadia video game system displays the visuals on a monitor suitable for the late 90's. A copy of the game Duck Shoot' is included. in box is a single gun for the game but more can be purchased for multiplayer support.</p>,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",1,0|0,Electronic Skeet Shoot,o
Approved,48,0,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,<p>The Arcadia video game system displays the visuals on a monitor suitable for the late 90's. A copy of the game Duck Shoot' is included. in box is a single gun for the game but more can be purchased for multiplayer support.</p>,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",1,0|0,Electronic Skeet Shoot,a
Approved,39,1,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",<p>Arcadia Electronic Skeet Shoot game system has Image Projecting and LED display.  It was made in 1998.  It includes the Duck Shoot' red cartridge,1,1|1,Electronic Skeet Shoot,a
Approved,126,1,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",<p>Arcadia Electronic Skeet Shoot game system has Image Projecting and LED display.  It was made in 1998.  It includes the Duck Shoot' red cartridge,2,1|1,Electronic Skeet Shoot,a
Approved,51,1,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",<p>Arcadia Electronic Skeet Shoot game system has Image Projecting and LED display.  It was made in 1998.  It includes the Duck Shoot' red cartridge,2,1|1,Electronic Skeet Shoot,o
Approved,20,1,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",<p>Arcadia Electronic Skeet Shoot game system has Image Projecting and LED display.  It was made in 1998.  It includes the Duck Shoot' red cartridge,2,1|1,Electronic Skeet Shoot,s
Approved,44,1,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Game System : EBTH,https://www.ebth.com/items/2452630-arcadia-electronic-skeet-shoot-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_2.png,"<p>Arcadia Electronic Skeet Shoot game system with Image Projecting . LED display, 1998. Has the red cartridge for “Duck Shoot”. One gun included but allows for a second to be added.</p>",<p>Arcadia Electronic Skeet Shoot game system has Image Projecting and LED display.  It was made in 1998.  It includes the Duck Shoot' red cartridge,1,1|1,Electronic Skeet Shoot,s
