AssignmentStatus,WorkTimeInSeconds,Input.document,Input.case,Answer.answer,Answer.case
Approved,1060,"<p>A tooth abscess is a critical infection that starts from either a tooth or the gums around a tooth. Antibiotics do not heal the infection; they decrease it enough for the swelling and the pain to be reduced, and to make proper treatment accessible. If the abscess comes from the tooth itself, then it would have originated from a cavity that grew slowly and eventually reached the dental pulp (centre of the tooth) where the nerves and blood vessels are located.</p>",75,"When a tooth or the gums surrounding the tooth become infected, an abscess may develop.  An abscess is a serious problem and requires immediate attention.  A dentist can prescribe antibiotics to reduce the swelling caused by the abscess and make treatment possible, which will also minimize the pain.  If the abscess is the result of a cavity in the tooth, it has already been there for an extended period of time.  That type of abscess grows slowly and spreads until it ultimately invades the center of the tooth.  It attacks the dental pulp in the center of the tooth, which contains nerves and blood vessels.",75
Approved,66,<p>Tie your Necktie with the larger double Windsor knot. The double Windsor is the most popular way men tie their neckties.</p>,155,There are several ways to tie a necktie.  The most popular is the double Windsor. This is a larger double knot.,155
Approved,187,"<p>Section 3 is the bulk of this paper in that it attempts to systematically show that what has been proposed as new, profound, revolutionary is often misunderstood.</p>",123,Sect. 3 is the bulk of this paper. It attempts to show that what has been proposed as new or profound is often misunderstood.,123
Approved,275,"<p>Check with your car battery vendor when purchasing a new battery. Some states and councils provide Household Hazardous Waste or Chemical Collection programs that take used lead acid batteries for recycling. If your workplace or business has large quantities of car batteries to recycle, visit BusinessRecycling.com.au to find suitable collection or pick up service options.</p>",159,"Want to recycle your lead acid car battery?  Useful resources include the state or council Household Hazardous Waste or Chemical Collections programs. Battery vendors can also provide assistance in battery recycling.  For larger quantities, such as those from corporations, visit BusinessRecycling.com.au for suitable collection or pick up service options.",159
Approved,227,"<p>On January 18, 1996, the Indiana University Law and Economics Lunch Bunch met to discuss the book Game Theory and the Law by Douglas Baird, Robert Gertner and Randall Picker. Professor Dau-Schmidt wanted to review the book, and being rather a lefty, thought a group effort would be a good idea. The rest of us, being quite willing to express our opinions if a well-meaning lefty would do most of the work, agreed.</p>",124,"We discussed Game Theory and the Law, a book by Douglas Baird, Robert Gertner, and Randall Picker at the Indiana University Law and Economics Lunch Bunch on January 18, 1996. Professor Dau-Schmidt, a notable liberal, selected this book for a group discussion. We were happy to offer our views, as long as an earnest lefty was the one doing most of the work.",124
Approved,500,"<p>Noose Knot Details. Uses: The simple Noose (ABOK # 1114, p 204.) is identical in structure to the Slip Knot except that the bight to be inserted is formed from the long end - and not the short one. It has been used as a snare to catch small animals. It is not the Hangman's Knot. It is a frequently tied knot - being used in the Arbor Knot and in knitting as the first loop when casting on - where it is frequently tied as a Noose and called a Slip Knot.</p>",150,"Description of Noose Knots.  Noose Knots, illustration ABOK #1114, p204, are the same as a Slip Knot in terms of their formation.  The main difference is that in the Noose Knot the bight which is inserted is dome from the longer end whereas in Slip Knots it is from the shorter end.  Noose Knots have commonly been used to catch small animals.  The Noose Knot is not the Hangman's Knot.   The Noose Knot is an often used tied knot.  It is incorporated in the Arbor Knot as well as in knitting as the first loop when casting on.   In knitting that knot is often tied as a Noose knot even though referred to as a Slip Knot.",150
Approved,325,"<p>Male Menopause Enlarged There are currently numerous debates in the medical community on whether menopause in fact exists in men. Menopause in women is defined as the time when the menstrual periods cease. Based on this, men cannot have menopause. But, as the doctors have argued, they can undergo</p>",52,"Menopause refers to the time after a woman stops having menstrual periods. By definition, it is a uniquely female phenomenon. The concept of an analogous life stage in men is controversial idea among medical professionals.",52
Approved,262,"<p>Obama's Food Police! Yesterday I was told about an article on HumanEvents.com that at first had me a little scared, then relieved and happy, then a little scared again. The article “Obama's Food Police in Staggering Crackdown on Market to … Continue reading →</p>",55,"Obama's Food Police! Yesterday I heard about an article that frightened me in the beginning, but then made me feel a little better and somewhat relieved. In the end I thought it was all a little scary.  The article on HumanEvents.com was titled ""Obama's Food police in Staggering Crackdown on Market to ..."" Continue reading -->",55
Approved,226,"<p>Barrett's Esophagus and My Father. After my father was diagnosed with it, I scoured the Internet to learn as much as I could about Barrett's Esophagus. I learned that as many as millions go undiagnosed and untreated until it is too late. So this site will represent the culmination of my studies presented in a comprehensive yet accessible manner.</p>",83,My site provides information from across the internet on Barrett's esophagus in an easy-to-read format.  I learned that this diagnosis is either missed or is diagnosed too late after my father was diagnosed with Barrett's esophagus.,83
Approved,294,"<p>In its most simplistic design the walls are all of equal height, making construction prior to the roof installation simpler. Because there are four roof fields, there is no gable formed, leading a hip roof to provide more protection against wind. Plus with its added hips and valleys the hip roof has more areas where roofing leakage is more likely to occur, so added materials and construction precautions are involved in these areas.</p>",93,"In its most basic design the walls are of the same height, making construction before the installation of the roof simpler. Since there are four roof fields, there isn't a gable formed. This enables a hip roof to ward more protection against the wind. Additionally with the added hips and valleys the hip roof has many more areas where roof leaks are more likely to happen. Therefore, added construction precautions and materials are involved in these areas.",93
